,GT FileName,SSIM-r (a*b*),SSIM-p (a*b*),SSIM-r (hc),SSIM-p (hc),SSIM-r (bgr),SSIM-p (bgr),MS-SSIM-r (a*b*),MS-SSIM-p (a*b*),MS-SSIM-r (hc),MS-SSIM-p (hc),MS-SSIM-r (bgr),MS-SSIM-p (bgr),MSE-r (a*b*),MSE-p (a*b*),MSE-r (hc),MSE-p (hc),RMSE-r (a*b*),RMSE-p (a*b*),RMSE-r (hc),RMSE-p (hc),MAE-r (a*b*),MAE-p (a*b*),MAE-r (hc),MAE-p (hc),Colourfulness-r,Colourfulness-p,Colourfulness-dif-r,Colourfulness-dif-p,psnr-ab-r,psnr-ab-p,psnr-hc-r,psnr-hc-p
0,015004_gt.jpg,0.298,0.015,0.165,0.185,0.165,0.185,0.444,0.0,0.243,0.05,0.399,0.001,-0.294,0.017,0.118,0.345,-0.292,0.017,0.123,0.325,0.198,0.111,-0.029,0.817,-0.228,0.066,0.228,0.066,0.367,0.002,0.115,0.358
1,022090_gt.jpg,0.303,0.013,0.022,0.86,0.022,0.86,0.29,0.018,0.088,0.483,0.331,0.007,-0.121,0.332,0.06,0.63,-0.136,0.275,0.062,0.621,-0.183,0.142,-0.082,0.515,-0.078,0.536,0.078,0.536,0.096,0.446,-0.078,0.534
2,022093_gt.jpg,0.364,0.003,0.189,0.128,0.189,0.128,0.468,0.0,0.179,0.151,0.377,0.002,-0.225,0.07,-0.296,0.016,-0.211,0.089,-0.271,0.027,-0.437,0.0,-0.124,0.32,0.411,0.001,-0.411,0.001,0.374,0.002,-0.075,0.548
3,024004_gt.jpg,0.498,0.0,0.504,0.0,0.504,0.0,0.598,0.0,0.536,0.0,0.541,0.0,-0.401,0.001,-0.23,0.064,-0.434,0.0,-0.022,0.864,-0.459,0.0,-0.145,0.245,0.098,0.435,-0.098,0.435,0.512,0.0,0.259,0.036
4,025098_gt.jpg,0.37,0.002,0.193,0.121,0.193,0.121,0.459,0.0,0.099,0.427,0.487,0.0,-0.363,0.003,-0.088,0.482,-0.41,0.001,-0.032,0.798,0.055,0.664,0.457,0.0,0.018,0.883,-0.018,0.883,0.568,0.0,0.069,0.582
5,046076_gt.jpg,0.418,0.0,0.062,0.618,0.062,0.618,0.547,0.0,0.04,0.747,0.441,0.0,-0.194,0.119,-0.331,0.007,-0.209,0.091,-0.262,0.033,0.126,0.313,0.16,0.2,0.125,0.317,-0.125,0.317,0.402,0.001,-0.101,0.418
6,056028_gt.jpg,0.283,0.021,0.193,0.121,0.193,0.121,0.34,0.005,0.139,0.265,0.302,0.014,-0.219,0.078,-0.021,0.869,-0.255,0.039,0.093,0.457,-0.21,0.091,0.179,0.15,-0.195,0.117,0.195,0.117,0.23,0.064,0.035,0.781
7,065019_gt.jpg,0.443,0.0,0.6,0.0,0.6,0.0,0.387,0.001,0.641,0.0,0.444,0.0,-0.426,0.0,-0.282,0.022,-0.43,0.0,-0.285,0.02,-0.308,0.012,-0.428,0.0,0.215,0.083,-0.215,0.083,0.346,0.004,0.538,0.0
8,078019_gt.jpg,0.577,0.0,0.628,0.0,0.628,0.0,0.64,0.0,0.66,0.0,0.585,0.0,-0.617,0.0,0.212,0.088,-0.61,0.0,0.34,0.005,-0.112,0.37,0.504,0.0,-0.238,0.054,0.238,0.054,0.561,0.0,0.685,0.0
9,118020_gt.jpg,0.511,0.0,0.33,0.007,0.33,0.007,0.594,0.0,0.276,0.025,0.582,0.0,-0.517,0.0,-0.018,0.887,-0.508,0.0,0.023,0.854,-0.075,0.552,0.143,0.253,-0.321,0.009,0.321,0.009,0.526,0.0,0.043,0.731
10,118035_gt.jpg,0.673,0.0,0.489,0.0,0.489,0.0,0.694,0.0,0.626,0.0,0.617,0.0,-0.612,0.0,-0.315,0.01,-0.607,0.0,-0.254,0.04,0.177,0.154,0.445,0.0,-0.472,0.0,0.472,0.0,0.565,0.0,0.651,0.0
11,140075_gt.jpg,0.627,0.0,0.436,0.0,0.436,0.0,0.651,0.0,0.394,0.001,0.627,0.0,-0.6,0.0,-0.325,0.008,-0.611,0.0,-0.252,0.041,-0.176,0.157,-0.089,0.476,0.157,0.207,-0.157,0.207,0.405,0.001,0.29,0.018
12,151087_gt.jpg,0.633,0.0,0.57,0.0,0.57,0.0,0.65,0.0,0.597,0.0,0.618,0.0,-0.608,0.0,0.183,0.142,-0.608,0.0,0.19,0.127,0.0,0.998,0.061,0.625,-0.023,0.854,0.023,0.854,0.611,0.0,0.299,0.015
13,153093_gt.jpg,0.561,0.0,0.458,0.0,0.458,0.0,0.647,0.0,0.24,0.052,0.621,0.0,-0.28,0.023,0.029,0.815,-0.354,0.004,0.201,0.106,0.043,0.729,0.275,0.025,-0.112,0.371,0.112,0.371,0.394,0.001,0.106,0.397
14,187029_gt.jpg,0.545,0.0,0.338,0.006,0.338,0.006,0.522,0.0,0.391,0.001,0.541,0.0,-0.314,0.01,0.153,0.22,-0.354,0.004,0.172,0.167,0.025,0.84,0.48,0.0,0.273,0.026,-0.273,0.026,0.538,0.0,0.053,0.671
15,198023_gt.jpg,0.539,0.0,0.327,0.007,0.327,0.007,0.648,0.0,-0.018,0.886,0.667,0.0,-0.58,0.0,0.429,0.0,-0.589,0.0,0.433,0.0,0.218,0.079,0.468,0.0,-0.256,0.038,0.256,0.038,0.608,0.0,-0.169,0.174
16,239096_gt.jpg,0.578,0.0,0.585,0.0,0.585,0.0,0.532,0.0,0.438,0.0,0.583,0.0,-0.501,0.0,-0.258,0.036,-0.509,0.0,-0.138,0.268,-0.231,0.062,-0.002,0.984,0.012,0.923,-0.012,0.923,0.455,0.0,0.192,0.122
17,242078_gt.jpg,0.509,0.0,0.424,0.0,0.424,0.0,0.53,0.0,0.354,0.004,0.584,0.0,-0.441,0.0,-0.299,0.015,-0.422,0.0,-0.192,0.123,-0.072,0.566,0.032,0.796,-0.057,0.649,0.057,0.649,0.135,0.28,0.161,0.197
18,323016_gt.jpg,0.642,0.0,0.247,0.046,0.247,0.046,0.724,0.0,0.332,0.006,0.7,0.0,-0.531,0.0,0.172,0.167,-0.515,0.0,0.118,0.344,0.082,0.513,-0.315,0.01,-0.314,0.01,0.314,0.01,0.496,0.0,0.315,0.01
19,376001_gt.jpg,0.318,0.009,0.279,0.023,0.279,0.023,0.315,0.01,0.236,0.057,0.448,0.0,-0.238,0.054,-0.063,0.617,-0.245,0.048,-0.068,0.586,0.085,0.496,-0.057,0.65,-0.039,0.756,0.039,0.756,0.378,0.002,0.129,0.3
20,All,0.492,0.0,0.271,0.0,0.422,0.0,0.567,0.0,0.291,0.0,0.549,0.0,-0.416,0.0,0.015,0.591,-0.434,0.0,0.091,0.001,-0.135,0.0,0.034,0.216,-0.022,0.418,-0.071,0.01,0.45,0.0,0.068,0.014
